"TOA5","Meteo_UPB_Ethernet","CR300","6066","CR300.Std.09.02","CPU:UPB_Rain_28Nov2019.CR300","54384","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2019-12-01 00:00:00",727,12.86,19.77,749,18.81,53.22
"2019-12-01 00:05:00",728,12.86,19.7,749,18.11,54.05
"2019-12-01 00:10:00",729,12.86,19.6,748.9,17.89,55.55
"2019-12-01 00:15:00",730,12.86,19.52,748.9,17.92,55.07
"2019-12-01 00:20:00",731,12.86,19.42,748.9,17.93,55.01
"2019-12-01 00:25:00",732,12.86,19.33,749,17.91,55.4
"2019-12-01 00:30:00",733,12.86,19.24,749.1,17.8,56.06
"2019-12-01 00:35:00",734,12.85,19.12,749.1,17.42,58.19
"2019-12-01 00:40:00",735,12.85,19,749.2,17.01,59.67
"2019-12-01 00:45:00",736,12.85,18.85,749.3,16.95,60.23
"2019-12-01 00:50:00",737,12.85,18.74,749.3,17.04,58.74
"2019-12-01 00:55:00",738,12.85,18.61,749.3,17.3,58.05
"2019-12-01 01:00:00",739,12.85,18.5,749.3,18.07,53.58
"2019-12-01 01:05:00",740,12.85,18.49,749.3,18.7,50.07
"2019-12-01 01:10:00",741,12.85,18.47,749.3,18.57,50.24
"2019-12-01 01:15:00",742,12.84,18.47,749.4,18.53,51.26
"2019-12-01 01:20:00",743,12.84,18.45,749.4,18.51,51.35
"2019-12-01 01:25:00",744,12.84,18.44,749.4,18.15,53.53
"2019-12-01 01:30:00",745,12.84,18.4,749.4,17.81,54.44
"2019-12-01 01:35:00",746,12.84,18.37,749.4,17.69,55.52
"2019-12-01 01:40:00",747,12.84,18.33,749.4,17.44,57.5
"2019-12-01 01:45:00",748,12.83,18.29,749.5,17.32,57.81
"2019-12-01 01:50:00",749,12.83,18.23,749.4,17.16,59.39
