"TOA5","Pluvio_UPB","CR300","6066","CR300.Std.09.02","CPU:UPB_Rain_28Nov2019.CR300","54384","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-03-24 12:45:00",33712,13.47,33.58,752,24.83,39.97
"2020-03-24 12:50:00",33713,13.47,33.59,752,25.81,37.57
"2020-03-24 12:55:00",33714,13.47,33.59,751.9,24.48,39.71
"2020-03-24 13:00:00",33715,13.47,33.53,751.8,24.45,38.32
"2020-03-24 13:05:00",33716,13.47,33.44,751.6,25.01,37.12
"2020-03-24 13:10:00",33717,13.47,33.43,751.5,25.66,36.32
"2020-03-24 13:15:00",33718,13.47,33.45,751.4,25.75,33.76
"2020-03-24 13:20:00",33719,13.47,33.5,751.3,26.28,32.67
"2020-03-24 13:25:00",33720,13.47,33.56,751.2,25.26,35.35
"2020-03-24 13:30:00",33721,13.48,33.58,751.1,25.98,33.48
"2020-03-24 13:35:00",33722,13.47,33.61,751,25.87,34.01
"2020-03-24 13:40:00",33723,13.47,33.64,750.8,25.71,32.99
"2020-03-24 13:45:00",33724,13.47,33.67,750.7,26.34,33.51
"2020-03-24 13:50:00",33725,13.47,33.68,750.6,25.43,33.8
"2020-03-24 13:55:00",33726,13.47,33.61,750.5,25.77,33.63
"2020-03-24 14:00:00",33727,13.48,33.59,750.5,26.18,32.36
"2020-03-24 14:05:00",33728,13.47,33.6,750.4,25.75,31.51
"2020-03-24 14:10:00",33729,13.48,33.63,750.4,26.74,30.58
"2020-03-24 14:15:00",33730,13.48,33.74,750.3,26.37,28.71
"2020-03-24 14:20:00",33731,13.48,33.83,750.2,26.84,27.97
"2020-03-24 14:25:00",33732,13.45,33.92,750.2,26.44,27.83
"2020-03-24 14:30:00",33733,13.45,33.99,750,26.7,29.29
"2020-03-24 14:35:00",33734,13.45,34.09,749.9,26.34,27.83
