"TOA5","Pluvio_UPB","CR300","6066","CR300.Std.09.02","CPU:UPB_Rain_29Sep2020.CR300","17010","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-11-01 00:00:00",7370,12.85,19.18,751.7,17.47,50.49
"2020-11-01 00:05:00",7371,12.85,19.17,751.8,17.39,50.67
"2020-11-01 00:10:00",7372,12.85,19.16,751.8,17.39,51.07
"2020-11-01 00:15:00",7373,12.85,19.13,751.7,17.34,51.1
"2020-11-01 00:20:00",7374,12.85,19.09,751.7,17.27,51.71
"2020-11-01 00:25:00",7375,12.85,19.06,751.8,17.21,51.73
"2020-11-01 00:30:00",7376,12.85,19.04,751.7,17.23,52.17
"2020-11-01 00:35:00",7377,12.84,19.01,751.7,17.21,51.82
"2020-11-01 00:40:00",7378,12.84,18.96,751.6,17.25,51.98
"2020-11-01 00:45:00",7379,12.84,18.95,751.6,17.17,52.87
"2020-11-01 00:50:00",7380,12.84,18.91,751.5,17.05,53.16
"2020-11-01 00:55:00",7381,12.84,18.88,751.5,17.07,53.25
"2020-11-01 01:00:00",7382,12.84,18.85,751.4,17,53.74
"2020-11-01 01:05:00",7383,12.84,18.82,751.4,16.83,54.42
"2020-11-01 01:10:00",7384,12.84,18.78,751.4,16.88,53.9
"2020-11-01 01:15:00",7385,12.84,18.73,751.3,16.77,54.59
"2020-11-01 01:20:00",7386,12.83,18.69,751.3,16.67,54.88
"2020-11-01 01:25:00",7387,12.83,18.64,751.2,16.67,55.22
"2020-11-01 01:30:00",7388,12.83,18.59,751.1,16.56,55.84
"2020-11-01 01:35:00",7389,12.83,18.54,751.1,16.54,55.99
"2020-11-01 01:40:00",7390,12.83,18.48,751.1,16.53,55.75
"2020-11-01 01:45:00",7391,12.82,18.44,751.1,16.53,55.72
"2020-11-01 01:50:00",7392,12.82,18.39,751.1,16.48,56.17
