"TOA5","Pluvio_UPB","CR300","6066","CR300.Std.10.03","CPU:UPB_Rain_4Dic2020.CR300","9715","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-05-01 00:00:00",147550,12.71,16.81,749.5,15.13,62.61
"2022-05-01 00:05:00",147551,12.7,16.7,749.5,15.17,63.27
"2022-05-01 00:10:00",147552,12.7,16.62,749.5,15.22,64.52
"2022-05-01 00:15:00",147553,12.7,16.54,749.5,15.1,64.08
"2022-05-01 00:20:00",147554,12.7,16.47,749.4,15.09,64.46
"2022-05-01 00:25:00",147555,12.7,16.38,749.4,14.91,65.02
"2022-05-01 00:30:00",147556,12.7,16.31,749.4,14.88,64.96
"2022-05-01 00:35:00",147557,12.69,16.25,749.3,15.05,64.07
"2022-05-01 00:40:00",147558,12.69,16.21,749.3,14.98,64.36
"2022-05-01 00:45:00",147559,12.69,16.18,749.3,14.78,64.94
"2022-05-01 00:50:00",147560,12.69,16.14,749.3,14.62,65.55
"2022-05-01 00:55:00",147561,12.69,16.08,749.3,14.45,65.73
"2022-05-01 01:00:00",147562,12.68,16.01,749.3,14.47,65.96
"2022-05-01 01:05:00",147563,12.68,15.94,749.3,14.26,66.77
"2022-05-01 01:10:00",147564,12.68,15.85,749.2,14.15,66.96
"2022-05-01 01:15:00",147565,12.68,15.76,749.2,14.23,66.65
"2022-05-01 01:20:00",147566,12.67,15.67,749.1,14.2,66.97
"2022-05-01 01:25:00",147567,12.67,15.58,749.1,14.19,66.93
"2022-05-01 01:30:00",147568,12.67,15.5,749.1,14.25,66.66
"2022-05-01 01:35:00",147569,12.67,15.43,749,14.28,66.66
"2022-05-01 01:40:00",147570,12.67,15.3,749,14.31,66.23
"2022-05-01 01:45:00",147571,12.67,15.23,749,14.38,65.78
"2022-05-01 01:50:00",147572,12.67,15.16,749.1,13.63,70.92
